config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
HW_fBO4_sg15,HW,0.69,1.5,10,23,78.7315,True,,2026-07-03T21:45:38.493856
SW_fBO4_sg08,SW,0.54,0.8,10,8,30.1687,True,,2026-07-03T21:46:08.685411
GR_fBO4_sg08,GR,0.77,0.8,10,17,39.5776,True,,2026-07-03T21:46:48.318514
HW_fBO4_sg15,HW,0.69,1.5,10,8,72.4174,True,,2026-07-03T21:48:00.812049
HW_fBO4_sg08,HW,0.69,0.8,10,17,94.6086,True,,2026-07-03T21:49:35.506813
SW_fBO4_sg08,SW,0.54,0.8,10,26,26.3364,True,,2026-07-03T21:50:01.855951
GR_fBO4_sg15,GR,0.77,1.5,10,5,36.0384,True,,2026-07-03T21:50:37.909651
HW_fBO4_sg08,HW,0.69,0.8,10,23,96.1998,True,,2026-07-03T21:52:14.201578
HW_fBO4_sg0,HW,0.69,0.0,10,3,41.7883,True,,2026-07-03T21:52:56.027367
SW_fBO4_sg08,SW,0.54,0.8,10,12,30.502,True,,2026-07-03T21:53:26.542501
GR_fBO4_sg0,GR,0.77,0.0,10,25,19.2716,True,,2026-07-03T21:53:45.821414
HW_fBO4_sg0,HW,0.69,0.0,10,6,44.6108,True,,2026-07-03T21:54:30.455833
HW_fBO4_sg0,HW,0.69,0.0,10,5,46.0759,True,,2026-07-03T21:55:16.583638
HW_fBO4_sg08,HW,0.69,0.8,10,4,106.0872,True,,2026-07-03T21:57:02.771158
SW_fBO4_sg0,SW,0.54,0.0,10,2,20.6304,True,,2026-07-03T21:57:23.411956
SW_fBO4_sg08,SW,0.54,0.8,10,16,30.8104,True,,2026-07-03T21:57:54.243456
SW_fBO4_sg08,SW,0.54,0.8,10,11,43.5733,True,,2026-07-03T21:58:37.910610
HW_fBO4_sg08,HW,0.69,0.8,10,15,96.8061,True,,2026-07-03T22:00:14.789290
HW_fBO4_sg15,HW,0.69,1.5,10,22,88.0392,True,,2026-07-03T22:01:42.886475
SW_fBO4_sg0,SW,0.54,0.0,10,24,31.4269,True,,2026-07-03T22:02:14.323676
HW_fBO4_sg08,HW,0.69,0.8,10,7,93.0903,True,,2026-07-03T22:03:47.499302
SW_fBO4_sg15,SW,0.54,1.5,10,10,28.0554,True,,2026-07-03T22:04:15.564085
GR_fBO4_sg0,GR,0.77,0.0,10,27,16.6977,True,,2026-07-03T22:04:32.287345
HW_fBO4_sg0,HW,0.69,0.0,10,14,52.5099,True,,2026-07-03T22:05:24.824638
GR_fBO4_sg08,GR,0.77,0.8,10,19,35.8646,True,,2026-07-03T22:06:00.740172
HW_fBO4_sg08,HW,0.69,0.8,10,21,115.219,True,,2026-07-03T22:07:56.761543
HW_fBO4_sg08,HW,0.69,0.8,10,10,127.0427,True,,2026-07-03T22:10:03.891093
GR_fBO4_sg08,GR,0.77,0.8,10,7,61.0755,True,,2026-07-03T22:11:05.003154
SW_fBO4_sg0,SW,0.54,0.0,10,15,20.3456,True,,2026-07-03T22:11:25.357920
HW_fBO4_sg0,HW,0.69,0.0,10,20,40.6544,True,,2026-07-03T22:12:06.051328
HW_fBO4_sg0,HW,0.69,0.0,10,7,44.3222,True,,2026-07-03T22:12:50.394083
GR_fBO4_sg08,GR,0.77,0.8,10,1,46.8114,True,,2026-07-03T22:13:37.269500
HW_fBO4_sg15,HW,0.69,1.5,10,15,79.3411,True,,2026-07-03T22:14:56.696321
SW_fBO4_sg0,SW,0.54,0.0,10,8,23.7175,True,,2026-07-03T22:15:20.417522
SW_fBO4_sg08,SW,0.54,0.8,10,20,36.822,True,,2026-07-03T22:15:57.254170
SW_fBO4_sg08,SW,0.54,0.8,10,30,39.1249,True,,2026-07-03T22:16:36.400049
GR_fBO4_sg15,GR,0.77,1.5,10,22,36.1694,True,,2026-07-03T22:17:12.607744
GR_fBO4_sg0,GR,0.77,0.0,10,24,26.947,True,,2026-07-03T22:17:39.574810
SW_fBO4_sg15,SW,0.54,1.5,10,2,24.037,True,,2026-07-03T22:18:03.635621
GR_fBO4_sg0,GR,0.77,0.0,10,22,22.7937,True,,2026-07-03T22:18:26.443096
HW_fBO4_sg15,HW,0.69,1.5,10,16,78.4924,True,,2026-07-03T22:19:44.994306
HW_fBO4_sg15,HW,0.69,1.5,10,17,82.3875,True,,2026-07-03T22:21:07.446909
HW_fBO4_sg08,HW,0.69,0.8,10,26,102.5275,True,,2026-07-03T22:22:50.046279
SW_fBO4_sg15,SW,0.54,1.5,10,9,24.7846,True,,2026-07-03T22:23:14.842737
HW_fBO4_sg08,HW,0.69,0.8,10,9,92.4134,True,,2026-07-03T22:24:47.341347
HW_fBO4_sg08,HW,0.69,0.8,10,20,96.1302,True,,2026-07-03T22:26:23.536303
HW_fBO4_sg0,HW,0.69,0.0,10,18,44.7964,True,,2026-07-03T22:27:08.362525
SW_fBO4_sg0,SW,0.54,0.0,10,16,28.7674,True,,2026-07-03T22:27:37.140073
GR_fBO4_sg08,GR,0.77,0.8,10,5,48.62,True,,2026-07-03T22:28:25.812800
GR_fBO4_sg0,GR,0.77,0.0,10,12,15.8012,True,,2026-07-03T22:28:41.634737
SW_fBO4_sg08,SW,0.54,0.8,10,15,39.5414,True,,2026-07-03T22:29:21.194247
HW_fBO4_sg15,HW,0.69,1.5,10,12,84.4729,True,,2026-07-03T22:30:45.715579
SW_fBO4_sg15,SW,0.54,1.5,10,6,26.9886,True,,2026-07-03T22:31:12.721787
SW_fBO4_sg0,SW,0.54,0.0,10,7,22.482,True,,2026-07-03T22:31:35.213242
GR_fBO4_sg15,GR,0.77,1.5,10,24,34.1675,True,,2026-07-03T22:32:09.430725
GR_fBO4_sg08,GR,0.77,0.8,10,22,51.5758,True,,2026-07-03T22:33:01.051382
GR_fBO4_sg15,GR,0.77,1.5,10,4,46.4142,True,,2026-07-03T22:33:47.489196
GR_fBO4_sg08,GR,0.77,0.8,10,6,43.3672,True,,2026-07-03T22:34:30.887241
