config_name,group,dp,replica,t_gen_s,success,timestamp
SW_DP8,SW,8,12,26.578,True,2026-04-01T14:11:50.809273
SW_DP8,SW,8,13,29.647,True,2026-04-01T14:12:20.490978
SW_DP8,SW,8,14,28.298,True,2026-04-01T14:12:48.839060
SW_DP8,SW,8,15,30.755,True,2026-04-01T14:13:19.647508
SW_DP8,SW,8,16,28.401,True,2026-04-01T14:13:48.100920
SW_DP8,SW,8,17,24.934,True,2026-04-01T14:14:13.063596
SW_DP8,SW,8,18,23.938,True,2026-04-01T14:14:37.032365
SW_DP8,SW,8,19,26.734,True,2026-04-01T14:15:03.806113
SW_DP8,SW,8,20,23.366,True,2026-04-01T14:15:27.222791
SW_DP8,SW,8,21,24.498,True,2026-04-01T14:15:51.753077
SW_DP8,SW,8,22,24.365,True,2026-04-01T14:16:16.168571
SW_DP8,SW,8,23,24.875,True,2026-04-01T14:16:41.092021
SW_DP8,SW,8,24,28.006,True,2026-04-01T14:17:09.154511
SW_DP8,SW,8,25,27.516,True,2026-04-01T14:17:36.703676
SW_DP8,SW,8,26,28.946,True,2026-04-01T14:18:05.704805
SW_DP8,SW,8,27,30.436,True,2026-04-01T14:18:36.175549
SW_DP8,SW,8,28,25.505,True,2026-04-01T14:19:01.714303
SW_DP8,SW,8,29,24.013,True,2026-04-01T14:19:25.757510
SW_DP8,SW,8,30,24.991,True,2026-04-01T14:19:50.799579
