config,fbo4_source,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
GR_fBO4_sg08,GR,0.77,0.8,10,15,193.409,True,,2026-04-01T16:35:36.581267
SW_fBO4_sg0,SW,0.54,0.0,10,29,97.7902,True,,2026-04-01T16:35:46.992117
SW_fBO4_sg15,SW,0.54,1.5,10,28,85.047,True,,2026-04-01T16:36:21.223846
HW_fBO4_sg15,HW,0.69,1.5,10,3,341.4915,True,,2026-04-01T16:36:55.723407
HW_fBO4_sg0,HW,0.69,0.0,10,22,157.8703,True,,2026-04-01T16:37:52.865038
HW_fBO4_sg0,HW,0.69,0.0,10,2,179.5664,True,,2026-04-01T16:38:12.425413
GR_fBO4_sg08,GR,0.77,0.8,10,13,158.3303,True,,2026-04-01T16:38:36.926130
SW_fBO4_sg08,SW,0.54,0.8,10,20,117.4033,True,,2026-04-01T16:38:53.183545
HW_fBO4_sg08,HW,0.69,0.8,10,4,399.3782,True,,2026-04-01T16:39:32.199570
SW_fBO4_sg0,SW,0.54,0.0,10,2,84.2985,True,,2026-04-01T16:40:01.247253
HW_fBO4_sg15,HW,0.69,1.5,10,27,292.1058,True,,2026-04-01T16:40:28.730114
GR_fBO4_sg08,GR,0.77,0.8,10,20,134.5612,True,,2026-04-01T16:40:33.414518
SW_fBO4_sg15,SW,0.54,1.5,10,4,106.2151,True,,2026-04-01T16:40:39.430095
SW_fBO4_sg0,SW,0.54,0.0,10,4,82.8195,True,,2026-04-01T16:40:55.033628
GR_fBO4_sg0,GR,0.77,0.0,10,28,63.9896,True,,2026-04-01T16:41:32.794119
SW_fBO4_sg15,SW,0.54,1.5,10,13,127.8306,True,,2026-04-01T16:42:02.344799
HW_fBO4_sg15,HW,0.69,1.5,10,7,288.5546,True,,2026-04-01T16:42:41.747965
GR_fBO4_sg08,GR,0.77,0.8,10,12,153.5386,True,,2026-04-01T16:43:07.166773
SW_fBO4_sg08,SW,0.54,0.8,10,19,148.7013,True,,2026-04-01T16:43:23.772627
HW_fBO4_sg08,HW,0.69,0.8,10,15,434.349,True,,2026-04-01T16:43:35.849877
GR_fBO4_sg0,GR,0.77,0.0,10,1,111.5034,True,,2026-04-01T16:43:53.924222
SW_fBO4_sg08,SW,0.54,0.8,10,7,116.8688,True,,2026-04-01T16:44:38.731917
SW_fBO4_sg0,SW,0.54,0.0,10,16,84.8853,True,,2026-04-01T16:44:48.697396
SW_fBO4_sg15,SW,0.54,1.5,10,26,102.1236,True,,2026-04-01T16:44:49.330291
HW_fBO4_sg15,HW,0.69,1.5,10,29,294.4709,True,,2026-04-01T16:45:34.035205
SW_fBO4_sg15,SW,0.54,1.5,10,19,96.9617,True,,2026-04-01T16:46:15.758115
HW_fBO4_sg08,HW,0.69,0.8,10,9,387.575,True,,2026-04-01T16:46:28.960154
SW_fBO4_sg08,SW,0.54,0.8,10,3,99.7097,True,,2026-04-01T16:46:29.050250
SW_fBO4_sg08,SW,0.54,0.8,10,9,102.5672,True,,2026-04-01T16:46:31.308762
GR_fBO4_sg0,GR,0.77,0.0,10,27,64.9146,True,,2026-04-01T16:46:39.025178
HW_fBO4_sg15,HW,0.69,1.5,10,2,317.776,True,,2026-04-01T16:46:50.708618
GR_fBO4_sg08,GR,0.77,0.8,10,25,177.0331,True,,2026-04-01T16:46:51.020424
GR_fBO4_sg15,GR,0.77,1.5,10,27,124.468,True,,2026-04-01T16:48:33.569612
SW_fBO4_sg08,SW,0.54,0.8,10,27,135.5876,True,,2026-04-01T16:48:46.935410
GR_fBO4_sg08,GR,0.77,0.8,10,1,162.2424,True,,2026-04-01T16:48:58.070693
GR_fBO4_sg15,GR,0.77,1.5,10,11,149.1903,True,,2026-04-01T16:49:08.409055
GR_fBO4_sg08,GR,0.77,0.8,10,6,170.8217,True,,2026-04-01T16:49:19.858505
HW_fBO4_sg08,HW,0.69,0.8,10,5,360.0625,True,,2026-04-01T16:49:36.170852
GR_fBO4_sg0,GR,0.77,0.0,10,21,66.392,True,,2026-04-01T16:49:53.471786
GR_fBO4_sg15,GR,0.77,1.5,10,28,140.1158,True,,2026-04-01T16:51:18.291138
SW_fBO4_sg08,SW,0.54,0.8,10,5,125.2108,True,,2026-04-01T16:51:25.101079
GR_fBO4_sg15,GR,0.77,1.5,10,21,128.4489,True,,2026-04-01T16:51:44.675118
GR_fBO4_sg08,GR,0.77,0.8,10,21,153.5825,True,,2026-04-01T16:52:27.233753
SW_fBO4_sg08,SW,0.54,0.8,10,22,118.616,True,,2026-04-01T16:52:31.894329
SW_fBO4_sg15,SW,0.54,1.5,10,16,84.1864,True,,2026-04-01T16:52:42.533850
HW_fBO4_sg08,HW,0.69,0.8,10,18,386.3572,True,,2026-04-01T16:53:17.320124
HW_fBO4_sg08,HW,0.69,0.8,10,10,400.0525,True,,2026-04-01T16:53:31.116865
HW_fBO4_sg15,HW,0.69,1.5,10,24,274.3672,True,,2026-04-01T16:53:42.828018
HW_fBO4_sg0,HW,0.69,0.0,10,9,145.3799,True,,2026-04-01T16:53:50.604904
SW_fBO4_sg0,SW,0.54,0.0,10,18,78.9648,True,,2026-04-01T16:53:50.902521
SW_fBO4_sg0,SW,0.54,0.0,10,19,85.2495,True,,2026-04-01T16:54:07.805049
GR_fBO4_sg15,GR,0.77,1.5,10,17,101.9734,True,,2026-04-01T16:54:59.367202
SW_fBO4_sg08,SW,0.54,0.8,10,8,109.7525,True,,2026-04-01T16:55:40.703390
SW_fBO4_sg08,SW,0.54,0.8,10,28,118.93,True,,2026-04-01T16:55:41.802859
HW_fBO4_sg0,HW,0.69,0.0,10,28,167.7888,True,,2026-04-01T16:56:38.604211
HW_fBO4_sg08,HW,0.69,0.8,10,19,337.0455,True,,2026-04-01T16:57:21.871991
HW_fBO4_sg08,HW,0.69,0.8,10,27,2.4093,False,"log4j:ERROR Could not parse file [resources/log4j.xml].
java.io.FileNotFoundException: /media/aldo/Aldo/sims/Lignin_DB_Natural_Evol_2/workers/worker_0/resources/log4j.xml (No such file or directory)
	",2026-04-01T16:57:22.361449
HW_fBO4_sg15,HW,0.69,1.5,10,19,295.1697,True,,2026-04-01T16:57:22.506480
GR_fBO4_sg15,GR,0.77,1.5,10,2,143.8298,True,,2026-04-01T16:57:23.231581
SW_fBO4_sg15,SW,0.54,1.5,10,6,1.6515,False,"log4j:ERROR Could not parse file [resources/log4j.xml].
java.io.FileNotFoundException: /media/aldo/Aldo/sims/Lignin_DB_Natural_Evol_2/workers/worker_3/resources/log4j.xml (No such file or directory)
	",2026-04-01T16:57:23.563853
